key,spec,probe
FSProbe_Test_Raw_F3_R32C09,[649.9058~321.8481],Test Probe 8
FSProbe_Test_Raw_F4_R00C09,[1084.3949~671.8085],Test Probe 7
FSProbe_Test_Raw_F4_R04C00,[1133.2312~729.2521],Test Probe 4
FSProbe_Test_Raw_F4_R08C11,[1151.2173~767.7386],Test Probe 3
FSProbe_Test_Raw_F4_R16C07,[1151.2173~767.7386],Test Probe 2
FSProbe_Test_Raw_F4_R24C03,[1151.2173~767.7386],Test Probe 1
FSProbe_Test_Raw_F4_R27C14,[1164.2793~735.0263],Test Probe 6
FSProbe_Test_Raw_F4_R31C05,[724.3119~399.0613],Test Probe 8
FSProbe_Test_Raw_F4_R31C06,[360.9449~144.6601],Test Probe 8
FSProbe_Test_Raw_F4_R31C07,[391.1287~176.4429],Test Probe 8
FSProbe_Test_Raw_F4_R31C08,[672.7001~330.7441],Test Probe 8
FSProbe_Test_Raw_F4_R31C09,[360.2633~60.8177],Test Probe 8
FSProbe_Test_Raw_F4_R32C01,[870.4011~510.8538],Test Probe 5
FSProbe_Test_Raw_F4_R32C05,[884.3538~468.3165],Test Probe 8
FSProbe_Test_Raw_F4_R32C06,[738.5022~344.7501],Test Probe 8
FSProbe_Test_Raw_F4_R32C07,[677.6082~343.105],Test Probe 8
FSProbe_Test_Raw_F4_R32C08,[794.2937~486.7064],Test Probe 8
FSProbe_Test_Raw_F4_R32C09,[614.9707~316.0152],Test Probe 8
FSProbe_Test_WithDG_F0_R00C09,[1140~860],Test Probe 7
FSProbe_Test_WithDG_F0_R04C00,[1140~860],Test Probe 4
FSProbe_Test_WithDG_F0_R08C11,[1090~910],Test Probe 3
FSProbe_Test_WithDG_F0_R16C07,[1090~910],Test Probe 2
FSProbe_Test_WithDG_F0_R24C03,[1090~910],Test Probe 1
FSProbe_Test_WithDG_F0_R27C14,[1140~860],Test Probe 6
FSProbe_Test_WithDG_F0_R31C05,[1110.71~927.29],Test Probe 8
FSProbe_Test_WithDG_F0_R31C06,[1202.27~1003.73],Test Probe 8
FSProbe_Test_WithDG_F0_R31C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F0_R31C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F0_R31C09,[1098.72~917.28],Test Probe 8
FSProbe_Test_WithDG_F0_R32C01,[1140~860],Test Probe 5
FSProbe_Test_WithDG_F0_R32C05,[1113.98~930.02],Test Probe 8
FSProbe_Test_WithDG_F0_R32C06,[1151.04~960.96],Test Probe 8
FSProbe_Test_WithDG_F0_R32C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F0_R32C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F0_R32C09,[1120.52~935.48],Test Probe 8
FSProbe_Test_WithDG_F0_RXCM_R00,[258.3077~184.6809],Test Probe 7
FSProbe_Test_WithDG_F0_RXCM_R04,[164.4225~94.7398],Test Probe 4
FSProbe_Test_WithDG_F0_RXCM_R08,[216.0634~170.2366],Test Probe 3
FSProbe_Test_WithDG_F0_RXCM_R16,[213.901~178.6036],Test Probe 2
FSProbe_Test_WithDG_F0_RXCM_R24,[224.2233~168.9783],Test Probe 1
FSProbe_Test_WithDG_F0_RXCM_R27,[174.5356~102.6526],Test Probe 6
FSProbe_Test_WithDG_F0_RXCM_R31,[462.7026~334.3874],Test Probe 8
FSProbe_Test_WithDG_F0_RXCM_R32,[576.8875~360.1837],"Test Probe 5,8"
FSProbe_Test_WithDG_F2_R00C09,[1140~860],Test Probe 7
FSProbe_Test_WithDG_F2_R04C00,[1140~860],Test Probe 4
FSProbe_Test_WithDG_F2_R08C11,[1090~910],Test Probe 3
FSProbe_Test_WithDG_F2_R16C07,[1090~910],Test Probe 2
FSProbe_Test_WithDG_F2_R24C03,[1090~910],Test Probe 1
