key,spec
B_DefaultResDTX_MC_F2_IMGUI_REG10,[6.231~0]
B_DefaultResDTX_MC_F3_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTX_MC_F3_IMGALL_REG02,[2.7135~0]
B_DefaultResDTX_MC_F3_IMGALL_REG03,[2.9145~0]
B_DefaultResDTX_MC_F3_IMGALL_REG04,[3.1155~0]
B_DefaultResDTX_MC_F3_IMGALL_REG05,[13.467~0]
B_DefaultResDTX_MC_F3_IMGALL_REG06,[5.226~0]
B_DefaultResDTX_MC_F3_IMGALL_REG07,[4.422~0]
B_DefaultResDTX_MC_F3_IMGALL_REG08,[8.9445~0]
B_DefaultResDTX_MC_F3_IMGALL_REG09,[6.1305~0]
B_DefaultResDTX_MC_F3_IMGALL_REG10,[15.477~0]
B_DefaultResDTX_MC_F3_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTX_MC_F3_IMGUI_REG02,[1.1055~0]
B_DefaultResDTX_MC_F3_IMGUI_REG03,[1.4360445~0]
B_DefaultResDTX_MC_F3_IMGUI_REG04,[1.206~0]
B_DefaultResDTX_MC_F3_IMGUI_REG05,[7.7609115~0]
B_DefaultResDTX_MC_F3_IMGUI_REG06,[2.9515845~0]
B_DefaultResDTX_MC_F3_IMGUI_REG07,[1.809~0]
B_DefaultResDTX_MC_F3_IMGUI_REG08,[3.5175~0]
B_DefaultResDTX_MC_F3_IMGUI_REG09,[3.441924~0]
B_DefaultResDTX_MC_F3_IMGUI_REG10,[6.231~0]
B_DefaultResDTX_MC_F4_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTX_MC_F4_IMGALL_REG02,[2.7135~0]
B_DefaultResDTX_MC_F4_IMGALL_REG03,[2.9145~0]
B_DefaultResDTX_MC_F4_IMGALL_REG04,[3.1155~0]
B_DefaultResDTX_MC_F4_IMGALL_REG05,[13.467~0]
B_DefaultResDTX_MC_F4_IMGALL_REG06,[5.226~0]
B_DefaultResDTX_MC_F4_IMGALL_REG07,[4.422~0]
B_DefaultResDTX_MC_F4_IMGALL_REG08,[8.9445~0]
B_DefaultResDTX_MC_F4_IMGALL_REG09,[6.1305~0]
B_DefaultResDTX_MC_F4_IMGALL_REG10,[15.477~0]
B_DefaultResDTX_MC_F4_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTX_MC_F4_IMGUI_REG02,[1.1055~0]
B_DefaultResDTX_MC_F4_IMGUI_REG03,[2.5296855~0]
B_DefaultResDTX_MC_F4_IMGUI_REG04,[1.206~0]
B_DefaultResDTX_MC_F4_IMGUI_REG05,[11.6673465~0]
B_DefaultResDTX_MC_F4_IMGUI_REG06,[2.7198315~0]
B_DefaultResDTX_MC_F4_IMGUI_REG07,[1.809~0]
B_DefaultResDTX_MC_F4_IMGUI_REG08,[4.658979~0]
B_DefaultResDTX_MC_F4_IMGUI_REG09,[2.412~0]
B_DefaultResDTX_MC_F4_IMGUI_REG10,[7.510365~0]
B_DefaultResDTX_RXCM_F0_IMGALL_REG13,[1.809~0.000000001]
B_DefaultResDTX_RXCM_F0_IMGALL_REG14,[2.7135~0]
B_DefaultResDTX_RXCM_F0_IMGUI_REG13,[0.603~0.000000001]
B_DefaultResDTX_RXCM_F0_IMGUI_REG14,[0.89445~0]
B_DefaultResDTX_RXCM_F2_IMGALL_REG13,[1.809~0.000000001]
B_DefaultResDTX_RXCM_F2_IMGALL_REG14,[2.7135~0]
B_DefaultResDTX_RXCM_F2_IMGUI_REG13,[0.603~0.000000001]
B_DefaultResDTX_RXCM_F2_IMGUI_REG14,[0.89445~0]
B_DefaultResDTX_RXCM_F3_IMGALL_REG13,[1.809~0.000000001]
B_DefaultResDTX_RXCM_F3_IMGALL_REG14,[2.7135~0]
B_DefaultResDTX_RXCM_F3_IMGUI_REG13,[0.603~0.000000001]
B_DefaultResDTX_RXCM_F3_IMGUI_REG14,[0.89445~0]
B_DefaultResDTX_RXCM_F4_IMGALL_REG13,[1.809~0.000000001]
